,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali,weekday_en,weekday_fa
165,"2,044,130","2,035,963","2,044,330","2,043,980",3671,0.18%,2024-06-17,1403/03/28,Monday,دوشنبه
166,"2,047,470","2,047,470","2,047,952","2,047,651",3496,0.17%,2024-06-21,1403/04/01,Friday,جمعه
167,"2,048,107","2,048,107","2,052,069","2,051,147",14019,0.68%,2024-06-22,1403/04/02,Saturday,شنبه
168,"2,052,687","2,052,687","2,065,275","2,065,166",19965,0.97%,2024-06-23,1403/04/03,Sunday,یکشنبه
169,"2,069,395","2,069,395","2,085,220","2,085,131",10893,0.52%,2024-06-25,1403/04/05,Tuesday,سه‌شنبه
170,"2,094,149","2,094,149","2,097,361","2,096,024",23086,1.11%,2024-06-28,1403/04/08,Friday,جمعه
171,"2,094,509","2,072,896","2,094,509","2,072,938",2157,0.1%,2024-06-29,1403/04/09,Saturday,شنبه
172,"2,073,084","2,072,512","2,075,146","2,075,095",15206,0.73%,2024-06-30,1403/04/10,Sunday,یکشنبه
173,"2,076,109","2,076,109","2,090,435","2,090,301",10369,0.5%,2024-07-01,1403/04/11,Monday,دوشنبه
174,"2,091,919","2,798","2,100,670","2,100,670",88142,4.2%,2024-07-02,1403/04/12,Tuesday,سه‌شنبه
175,"2,118,850","2,118,850","2,188,856","2,188,812",37631,1.72%,2024-07-05,1403/04/15,Friday,جمعه
176,"2,228,604","2,224,379","2,229,985","2,226,443",5144,0.23%,2024-07-06,1403/04/16,Saturday,شنبه
177,"2,226,528","2,221,299","2,226,528","2,221,299",4283,0.19%,2024-07-07,1403/04/17,Sunday,یکشنبه
178,"2,221,735","2,217,015","2,221,958","2,217,016",7676,0.35%,2024-07-08,1403/04/18,Monday,دوشنبه
179,"2,211,784","2,209,202","2,211,784","2,209,340",9083,0.41%,2024-07-09,1403/04/19,Tuesday,سه‌شنبه
180,"2,209,624","2,200,237","2,209,624","2,200,257",877,0.04%,2024-07-12,1403/04/22,Friday,جمعه
181,"2,201,206","2,201,128","2,204,592","2,201,134",1545,0.07%,2024-07-13,1403/04/23,Saturday,شنبه
182,"2,201,491","2,201,491","2,203,344","2,202,679",10266,0.47%,2024-07-16,1403/04/26,Tuesday,سه‌شنبه
183,"2,202,670","2,192,413","2,202,670","2,192,413",20221,0.93%,2024-07-19,1403/04/29,Friday,جمعه
184,"2,191,809","2,172,190","2,191,809","2,172,192",3195,0.15%,2024-07-20,1403/04/30,Saturday,شنبه
185,"2,171,816","2,167,993","2,172,203","2,168,997",8965,0.41%,2024-07-21,1403/04/31,Sunday,یکشنبه
186,"2,169,010","2,169,010","2,179,874","2,177,962",2647,0.12%,2024-07-22,1403/05/01,Monday,دوشنبه
187,"2,178,508","2,175,315","2,181,600","2,175,315",14351,0.66%,2024-07-23,1403/05/02,Tuesday,سه‌شنبه
188,"2,175,352","2,160,964","2,175,352","2,160,964",29215,1.37%,2024-07-26,1403/05/05,Friday,جمعه
189,"2,161,004","2,131,748","2,161,004","2,131,749",11319,0.53%,2024-07-28,1403/05/07,Sunday,یکشنبه
190,"2,131,609","2,120,429","2,131,609","2,120,430",52058,2.52%,2024-07-29,1403/05/08,Monday,دوشنبه
191,"2,100,182","2,067,970","2,100,182","2,068,372",61706,3.08%,2024-07-30,1403/05/09,Tuesday,سه‌شنبه
192,"2,064,549","2,006,666","2,064,549","2,006,666",1058,0.05%,2024-08-02,1403/05/12,Friday,جمعه
193,"2,006,693","2,002,918","2,006,693","2,005,608",1096,0.05%,2024-08-03,1403/05/13,Saturday,شنبه
194,"2,005,711","2,004,382","2,006,256","2,004,512",1899,0.09%,2024-08-04,1403/05/14,Sunday,یکشنبه
195,"2,004,648","2,002,580","2,005,241","2,002,613",1230,0.06%,2024-08-05,1403/05/15,Monday,دوشنبه
196,"2,003,117","2,003,117","2,005,272","2,003,843",468,0.02%,2024-08-09,1403/05/19,Friday,جمعه
197,"2,004,265","2,003,369","2,005,330","2,003,375",4722,0.24%,2024-08-10,1403/05/20,Saturday,شنبه
198,"2,003,544","1,998,653","2,003,552","1,998,653",7569,0.38%,2024-08-11,1403/05/21,Sunday,یکشنبه
199,"1,997,850","1,991,084","1,997,850","1,991,084",7034,0.35%,2024-08-12,1403/05/22,Monday,دوشنبه
200,"1,998,118","1,998,118","1,998,118","1,998,118",14239,0.71%,2024-08-13,1403/05/23,Tuesday,سه‌شنبه
201,"2,000,937","2,000,937","2,012,357","2,012,357",18201,0.9%,2024-08-16,1403/05/26,Friday,جمعه
202,"2,018,006","2,018,006","2,030,558","2,030,558",7485,0.37%,2024-08-18,1403/05/28,Sunday,یکشنبه
203,"2,038,048","2,032,553","2,038,048","2,032,554",4654,0.23%,2024-08-19,1403/05/29,Monday,دوشنبه
