,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali,weekday_en,weekday_fa
9398,"1,231.8600","1,217.2000","1,232.4100","1,222.3500",18.34,1.5%,2016-04-06,1395/01/18,Wednesday,چهارشنبه
9399,"1,223.1600","1,222.7000","1,243.9000","1,240.6899",0.2999,0.02%,2016-04-07,1395/01/19,Thursday,پنج‌شنبه
9400,"1,240.1801","1,229.6200","1,243.1801","1,240.3900",17.5599,1.42%,2016-04-08,1395/01/20,Friday,جمعه
9401,"1,239.7900","1,239.7900","1,259.1000","1,257.9500",2.01,0.16%,2016-04-11,1395/01/23,Monday,دوشنبه
9402,"1,259.0500","1,251.2900","1,262.9800","1,255.9399",12.7999,1.03%,2016-04-12,1395/01/24,Tuesday,سه‌شنبه
9403,"1,255.8800","1,240.2400","1,257.1801","1,243.1400",15.75,1.28%,2016-04-13,1395/01/25,Wednesday,چهارشنبه
9404,"1,242.0500","1,223.7900","1,244.3800","1,227.3900",6.66,0.54%,2016-04-14,1395/01/26,Thursday,پنج‌شنبه
9405,"1,227.5500","1,225.2900","1,236.2900","1,234.0500",2.5,0.2%,2016-04-15,1395/01/27,Friday,جمعه
9406,"1,234.1000","1,230.1600","1,242","1,231.5500",18.95,1.54%,2016-04-18,1395/01/30,Monday,دوشنبه
9407,"1,232.4600","1,227.7000","1,257.2000","1,250.50",6.45,0.52%,2016-04-19,1395/01/31,Tuesday,سه‌شنبه
9408,"1,251","1,242.6000","1,258.75","1,244.0500",4.7999,0.39%,2016-04-20,1395/02/01,Wednesday,چهارشنبه
9409,"1,243.4900","1,242.8800","1,270.4800","1,248.8500",16.5499,1.34%,2016-04-21,1395/02/02,Thursday,پنج‌شنبه
9410,"1,247.4399","1,227.3500","1,252.9800","1,232.3000",5.6,0.45%,2016-04-22,1395/02/03,Friday,جمعه
9411,"1,232.1000","1,230.1000","1,242.3000","1,237.9000",5.5399,0.45%,2016-04-25,1395/02/06,Monday,دوشنبه
9412,"1,238.5699","1,231.9500","1,245.1500","1,243.4399",2.66,0.21%,2016-04-26,1395/02/07,Tuesday,سه‌شنبه
9413,"1,242.6000","1,240.6600","1,251.3000","1,246.1000",20.38,1.64%,2016-04-27,1395/02/08,Wednesday,چهارشنبه
9414,"1,245.6600","1,238.0500","1,270.1000","1,266.4800",27.26,2.15%,2016-04-28,1395/02/09,Thursday,پنج‌شنبه
9415,"1,266.2700","1,265.1400","1,296.4900","1,293.7400",2.14,0.17%,2016-04-29,1395/02/10,Friday,جمعه
9416,"1,293.6899","1,287.4800","1,303.9800","1,291.6000",5.6,0.44%,2016-05-02,1395/02/13,Monday,دوشنبه
9417,"1,291.7600","1,282.4600","1,302.4000","1,286",6.51,0.51%,2016-05-03,1395/02/14,Tuesday,سه‌شنبه
9418,"1,285.9900","1,271.6400","1,289.6801","1,279.4900",1.4399,0.11%,2016-05-04,1395/02/15,Wednesday,چهارشنبه
9419,"1,279.8500","1,269.2400","1,286.3800","1,278.0500",10.6499,0.83%,2016-05-05,1395/02/16,Thursday,پنج‌شنبه
9420,"1,278.50","1,274.4000","1,296.1000","1,288.7000",24.85,1.97%,2016-05-06,1395/02/17,Friday,جمعه
9421,"1,284.9301","1,261.0900","1,287.9800","1,263.8500",2.55,0.2%,2016-05-09,1395/02/20,Monday,دوشنبه
9422,"1,264.1100","1,257.6500","1,269.50","1,266.4000",11.2899,0.89%,2016-05-10,1395/02/21,Tuesday,سه‌شنبه
9423,"1,265.7300","1,264.7900","1,279.1801","1,277.6899",14.2,1.12%,2016-05-11,1395/02/22,Wednesday,چهارشنبه
9424,"1,277.8000","1,263.4900","1,280.9900","1,263.4900",10.11,0.8%,2016-05-12,1395/02/23,Thursday,پنج‌شنبه
9425,"1,263.6100","1,263.5100","1,276.6000","1,273.6000",0.26,0.02%,2016-05-13,1395/02/24,Friday,جمعه
9426,"1,272.5100","1,271.3300","1,288.6000","1,273.8600",6.14,0.48%,2016-05-16,1395/02/27,Monday,دوشنبه
9427,"1,274.0601","1,269.50","1,282.50","1,280",21.7,1.72%,2016-05-17,1395/02/28,Tuesday,سه‌شنبه
9428,"1,279.7100","1,255.0500","1,281.5100","1,258.3000",3.2001,0.25%,2016-05-18,1395/02/29,Wednesday,چهارشنبه
9429,"1,258.6000","1,245","1,261.9200","1,255.1000",2.7999,0.22%,2016-05-19,1395/02/30,Thursday,پنج‌شنبه
9430,"1,255.2400","1,248.7000","1,259.9800","1,252.3000",3.0601,0.24%,2016-05-20,1395/02/31,Friday,جمعه
9431,"1,251.4100","1,243.3900","1,256.3600","1,249.2400",22.24,1.81%,2016-05-23,1395/03/03,Monday,دوشنبه
9432,"1,249.2100","1,226.5300","1,251.2600","1,227",2.8199,0.23%,2016-05-24,1395/03/04,Tuesday,سه‌شنبه
9433,"1,227","1,217.6500","1,230.2100","1,224.1801",4.03,0.33%,2016-05-25,1395/03/05,Wednesday,چهارشنبه
9434,"1,223.4000","1,218.5500","1,234.0100","1,220.1500",7.75,0.64%,2016-05-26,1395/03/06,Thursday,پنج‌شنبه
9435,"1,219.8600","1,206.7000","1,223.7000","1,212.4000",6.8201,0.57%,2016-05-27,1395/03/07,Friday,جمعه
9436,"1,213.3800","1,199.9700","1,213.8300","1,205.5800",9.66,0.8%,2016-05-30,1395/03/10,Monday,دوشنبه
9437,"1,206.4500","1,206.2000","1,218.8600","1,215.2400",1.89,0.16%,2016-05-31,1395/03/11,Tuesday,سه‌شنبه
9438,"1,216.4000","1,206.50","1,221.25","1,213.3500",2.4,0.2%,2016-06-01,1395/03/12,Wednesday,چهارشنبه
9439,"1,213.6200","1,209.9900","1,218.0500","1,210.9500",33.54,2.77%,2016-06-02,1395/03/13,Thursday,پنج‌شنبه
9440,"1,211.1600","1,207.0100","1,244.9100","1,244.4900",0.75,0.06%,2016-06-03,1395/03/14,Friday,جمعه
9441,"1,242.7900","1,239.9301","1,248.7900","1,245.2400",1.39,0.11%,2016-06-06,1395/03/17,Monday,دوشنبه
9442,"1,245.5601","1,234.9000","1,246.6600","1,243.8500",18.29,1.47%,2016-06-07,1395/03/18,Tuesday,سه‌شنبه
9443,"1,244.6400","1,243.0900","1,264.1899","1,262.1400",7.01,0.56%,2016-06-08,1395/03/19,Wednesday,چهارشنبه
9444,"1,262.5500","1,257.5601","1,272.0601","1,269.1500",5.0499,0.4%,2016-06-09,1395/03/20,Thursday,پنج‌شنبه
9445,"1,269.4100","1,264.4700","1,278.1000","1,274.2000",9.8501,0.77%,2016-06-10,1395/03/21,Friday,جمعه
9446,"1,274.0500","1,272.7000","1,287.4000","1,284.0500",1.7999,0.14%,2016-06-13,1395/03/24,Monday,دوشنبه
9447,"1,283.3900","1,276.3800","1,290.1801","1,285.8500",5.64,0.44%,2016-06-14,1395/03/25,Tuesday,سه‌شنبه
9448,"1,285.1400","1,278.4301","1,297.0900","1,291.4900",12.35,0.97%,2016-06-15,1395/03/26,Wednesday,چهارشنبه
9449,"1,293.5100","1,278.7700","1,316.1100","1,279.1400",19.46,1.52%,2016-06-16,1395/03/27,Thursday,پنج‌شنبه
9450,"1,279.3500","1,277.1899","1,299.8800","1,298.6000",8.45,0.65%,2016-06-17,1395/03/28,Friday,جمعه
9451,"1,285.8000","1,277.7400","1,292.3600","1,290.1500",21.7101,1.71%,2016-06-20,1395/03/31,Monday,دوشنبه
9452,"1,288.6801","1,264.4800","1,294.3800","1,268.4399",2.1299,0.17%,2016-06-21,1395/04/01,Tuesday,سه‌شنبه
9453,"1,268.4500","1,261.4100","1,271","1,266.3101",10.66,0.85%,2016-06-22,1395/04/02,Wednesday,چهارشنبه
9454,"1,264.3101","1,255.4600","1,271.6500","1,255.6500",60.33,4.8%,2016-06-23,1395/04/03,Thursday,پنج‌شنبه
9455,"1,253.8600","1,251.6600","1,358.7000","1,315.9800",8.8201,0.67%,2016-06-24,1395/04/04,Friday,جمعه
9456,"1,326.2600","1,317.8500","1,335.7000","1,324.8000",12.29,0.94%,2016-06-27,1395/04/07,Monday,دوشنبه
9457,"1,324.4500","1,305.6200","1,326.3900","1,312.5100",6.38,0.49%,2016-06-28,1395/04/08,Tuesday,سه‌شنبه
9458,"1,312.3900","1,311.2900","1,328.2300","1,318.8900",3.29,0.25%,2016-06-29,1395/04/09,Wednesday,چهارشنبه
9459,"1,317.7100","1,312.9500","1,324.1100","1,322.1801",20.12,1.52%,2016-06-30,1395/04/10,Thursday,پنج‌شنبه
9460,"1,323.3800","1,320.8800","1,344.6000","1,342.3000",8.48,0.63%,2016-07-01,1395/04/11,Friday,جمعه
9461,"1,342.5800","1,338.3400","1,357.9700","1,350.7800",5.36,0.4%,2016-07-04,1395/04/14,Monday,دوشنبه
9462,"1,351.1500","1,338.4301","1,357.7100","1,356.1400",7.75,0.57%,2016-07-05,1395/04/15,Tuesday,سه‌شنبه
9463,"1,356.7400","1,356.2300","1,375.3000","1,363.8900",3.29,0.24%,2016-07-06,1395/04/16,Wednesday,چهارشنبه
9464,"1,363.5601","1,350.8000","1,370.2600","1,360.6000",6.2001,0.46%,2016-07-07,1395/04/17,Thursday,پنج‌شنبه
9465,"1,359.2100","1,336.0800","1,369.0900","1,366.8000",11.55,0.85%,2016-07-08,1395/04/18,Friday,جمعه
9466,"1,368.7100","1,351.2000","1,375.1100","1,355.25",23.6,1.77%,2016-07-11,1395/04/21,Monday,دوشنبه
9467,"1,355.1600","1,330.1500","1,358.2000","1,331.6500",11.2,0.84%,2016-07-12,1395/04/22,Tuesday,سه‌شنبه
9468,"1,332.4000","1,327.7000","1,345.6000","1,342.8500",7.75,0.58%,2016-07-13,1395/04/23,Wednesday,چهارشنبه
9469,"1,344.0100","1,320.2200","1,347.1000","1,335.1000",2.75,0.21%,2016-07-14,1395/04/24,Thursday,پنج‌شنبه
9470,"1,336.3101","1,322.5500","1,338.9000","1,337.8500",9.0599,0.68%,2016-07-15,1395/04/25,Friday,جمعه
9471,"1,332.8101","1,323.8400","1,335.7000","1,328.7900",3.34,0.25%,2016-07-18,1395/04/28,Monday,دوشنبه
9472,"1,328.5100","1,325.6100","1,335.2900","1,332.1300",16.1801,1.23%,2016-07-19,1395/04/29,Tuesday,سه‌شنبه
9473,"1,331.8101","1,312.4900","1,336.3400","1,315.9500",15.14,1.15%,2016-07-20,1395/04/30,Wednesday,چهارشنبه
9474,"1,316.3101","1,310.9500","1,334.3800","1,331.0900",8.71,0.66%,2016-07-21,1395/04/31,Thursday,پنج‌شنبه
9475,"1,330.9399","1,319.5800","1,334.2200","1,322.3800",6.8199,0.52%,2016-07-22,1395/05/01,Friday,جمعه
9476,"1,322.5900","1,312.4301","1,324.1200","1,315.5601",4.7599,0.36%,2016-07-25,1395/05/04,Monday,دوشنبه
